,Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L,Image_date,Date_compare,B2,B3,B4,B5,B6,B7,B8,B11,B12,BC1,BC2,BC3,BC4,BC5,BC6
3874,Tolo Harbour and Channel,TM7,2017-11-17,1,Surface Water,2.2,0.01,8.6,101.0,7.0,1.0,1.0,0.0,0.0,0.0,8.3,1.9,31.2,2.6,0.41,3.2,25.3,0.01,0.27,0.27,0.02,6.5,0.0,1.8,2017-11-16,1 days,0.03173467616552427,0.036034244991552826,0.02201593790236791,0.015358278434613258,0.015421358100059682,0.018624918975523288,0.01639862950745344,0.009081639656296825,0.007790861774064474,21.860950945190083,16.283187062960835,0.00048470152172091986,0.693750198916019,0.0006986686598119373,0.0007933277000927388
3977,Tolo Harbour and Channel,TT1,2017-11-17,1,Surface Water,1.8,0.02,6.8,85.0,5.9,38.0,96.0,0.0,0.0,0.0,8.2,2.9,31.0,3.0,0.52,3.0,25.1,0.02,0.47,0.47,0.02,6.5,0.0,2.0,2017-11-16,1 days,0.03673496951765714,0.04794620613139979,0.036285857510087255,0.04270506747770453,0.04528887654112335,0.05012616705757805,0.03737307031263029,0.06384054370537018,0.04911682929175433,26.88920877935462,27.69487506482245,0.0013166634552423556,0.9877742648635107,0.0013329598695551058,0.0017397692038332447
3754,Tolo Harbour and Channel,TM5,2017-11-17,1,Surface Water,1.1,0.02,4.6,84.0,5.8,1.0,2.0,0.0,0.0,0.0,8.1,1.0,31.2,3.2,0.56,2.2,25.1,0.02,0.15,0.15,0.02,6.1,0.0,1.3,2017-11-16,1 days,0.0320442699491456,0.04124967556304001,0.023667948240210707,0.01706355947549053,0.018968053096415766,0.023758406687523586,0.019856628342826824,0.008195388827475175,0.006988518366166775,23.049411821106315,19.337696677690246,0.0005601717739012931,0.7386015745645584,0.0007584221225517175,0.0009762951861515154
1924,Port Shelter,PM1,2017-11-15,1,Surface Water,0.3,0.05,0.6,76.0,5.3,1.0,1.0,0.0,0.01,0.01,7.9,0.2,32.8,2.5,1.1,2.0,24.4,0.06,0.17,0.18,0.02,1.0,0.0,0.7,2017-11-16,1 days,0.041192082319371666,0.045258094995911165,0.023547134230027328,0.01591558879572197,0.015771680666747966,0.02102931635594303,0.018511972183427115,0.009333808593972275,0.007378864673121215,13.877478592109611,10.910011178584947,0.0005544675304469247,0.571642240551497,0.0009699554915885801,0.0010656984378640483
3634,Tolo Harbour and Channel,TM3,2017-11-17,1,Surface Water,1.7,0.01,8.7,84.0,5.8,35.0,70.0,0.0,0.0,0.0,8.2,2.8,31.0,2.4,0.42,3.3,25.1,0.01,0.22,0.22,0.02,6.6,0.0,2.2,2017-11-16,1 days,0.027259594295629335,0.03552469908817485,0.02189733846906269,0.016414843561179056,0.015394078169931392,0.018839256507999107,0.015261999478307003,0.0071672942672238015,0.007046620138818699,29.468128531877205,20.538686147433182,0.00047949343202869277,0.8032892284304318,0.0005969125628207261,0.0007778963599453674
2164,Port Shelter,PM4,2017-11-15,1,Surface Water,0.2,0.04,0.8,75.0,5.2,1.0,1.0,0.02,0.01,0.01,7.9,0.3,32.8,3.0,1.1,3.1,24.4,0.07,0.26,0.29,0.02,1.4,0.0,0.9,2017-11-16,1 days,0.0797721336522094,0.09355138214946244,0.044140134975700136,0.03080297324546819,0.026196846667803805,0.033595227655471196,0.029149424080886242,0.016755955968124115,0.012130873039048078,6.936353855956044,4.580654776739186,0.0019483515156730265,0.5533277468563437,0.0035211527467081142,0.0041293706352405765
3934,Tolo Harbour and Channel,TM8,2017-11-17,1,Surface Water,1.5,0.01,6.8,91.0,6.2,1.0,1.0,0.0,0.0,0.0,8.2,1.8,32.6,2.8,0.64,2.2,25.1,0.01,0.95,0.95,0.02,5.6,0.0,1.3,2017-11-16,1 days,0.028596572681115213,0.03464838032069265,0.020216715302400264,0.012954661052139322,0.013761586871733658,0.01681541873202883,0.015311715135708838,0.008005259396980413,0.0069831838888574525,24.72194430930253,18.723880868023908,0.000408715577618305,0.7069628772594524,0.0005781287685185033,0.0007004764406327314
3814,Tolo Harbour and Channel,TM6,2017-11-17,1,Surface Water,2.7,0.01,13.0,109.0,7.5,1.0,16.0,0.0,0.0,0.0,8.3,1.7,30.2,2.3,0.47,3.8,25.2,0.01,0.51,0.51,0.02,6.7,0.0,2.5,2017-11-16,1 days,0.029554386676576047,0.034671824484590726,0.022429977783804827,0.015589460886200524,0.01492233642497452,0.018655484316524647,0.01639067821173567,0.00830285891789112,0.007316130039224146,25.679404076091494,18.765192410678825,0.0005031039033819781,0.7589390376888511,0.0006629042365695781,0.0007776882529133502
1414,Mirs Bay,MM7,2017-11-13,1,Surface Water,0.2,0.05,1.1,83.0,5.8,1.0,2.0,0.01,0.01,0.0,7.8,0.3,32.6,2.0,0.53,7.4,24.7,0.08,0.74,0.76,0.02,1.7,0.0,1.5,2017-11-16,3 days,0.05783284576745444,0.06336186228617273,0.025301448792141426,0.016023256087379638,0.012259524569849167,0.015706396961759263,0.013545465601184598,0.005218349470289271,0.0046212234843141155,7.564779332535995,4.049904773091294,0.0006401633109813548,0.4374927164033811,0.0014632547856890615,0.0016031469140083165
694,Mirs Bay,MM1,2017-11-13,1,Surface Water,1.3,0.04,3.4,88.0,6.1,1.0,2.0,0.02,0.01,0.0,7.8,1.0,32.5,2.0,0.51,13.0,24.8,0.08,0.41,0.44,0.02,2.9,0.0,2.0,2017-11-16,3 days,0.040844329998850924,0.05442575463949203,0.025462961872608,0.0171033076815834,0.015560098339016785,0.020395434713013357,0.01756778482608383,0.0068563673628046,0.005844754813449793,15.263191986168069,10.530608101041935,0.0006483624273258886,0.6234148503188656,0.0010400176174729602,0.0013858409152733035
994,Mirs Bay,MM17,2017-11-13,1,Surface Water,0.1,0.02,1.2,92.0,6.3,1.0,2.0,0.0,0.01,0.0,7.8,0.6,32.7,2.0,0.32,17.0,24.7,0.03,0.34,0.35,0.02,8.3,0.0,2.5,2017-11-16,3 days,0.04240495204473024,0.044782116621838085,0.0227702647502082,0.015423695528371372,0.013853871874976291,0.016593996199182535,0.014847128008493237,0.007018559594626012,0.005518108754741547,12.662951029995583,8.256753137044955,0.0005184849567945741,0.5369718311717301,0.0009655719847783902,0.0010197006515539524
1234,Mirs Bay,MM4,2017-11-13,1,Surface Water,1.1,0.01,2.2,92.0,6.3,1.0,1.0,0.0,0.01,0.0,7.8,0.2,32.7,2.0,0.4,6.2,24.7,0.02,0.3,0.31,0.02,3.0,0.0,1.4,2017-11-16,3 days,0.04956050373335812,0.05722353528275838,0.027081015355260928,0.017981234146073246,0.013609566780528468,0.016761488081466096,0.015126547634379863,0.006780720860904715,0.006163345099798192,11.025378803504454,6.158407115481114,0.0007333813926718782,0.5464233273527701,0.001342148762617538,0.0015496714376746952
1174,Mirs Bay,MM3,2017-11-13,1,Surface Water,1.0,0.03,0.7,93.0,6.4,1.0,1.0,0.0,0.01,0.0,7.8,0.6,32.7,2.0,0.34,5.8,24.8,0.03,0.36,0.37,0.02,6.2,0.0,1.0,2017-11-16,3 days,0.0675526185702494,0.07443536270468151,0.030867564827285605,0.01888352202369569,0.013486007521849223,0.01728350882903729,0.014295848806950286,0.0067577467101714505,0.0056055572046405985,6.764224172386553,3.1327487803403797,0.0009528065583666793,0.4569410554408897,0.002085184832970071,0.002297638383729274
1294,Mirs Bay,MM5,2017-11-13,1,Surface Water,0.7,0.01,1.1,91.0,6.2,1.0,4.0,0.0,0.01,0.01,7.8,1.0,32.7,2.5,0.39,6.9,24.6,0.02,0.45,0.46,0.02,4.0,0.0,1.5,2017-11-16,3 days,0.03908052755514192,0.04238633016648729,0.023965465506590126,0.016720736435575666,0.014697669519974208,0.016920797836526745,0.014492314684587133,0.009818948309433282,0.008332391634793697,15.691520688875803,9.48892295208555,0.0005743435369475611,0.6132329066636903,0.0009365830351020987,0.0010158081335558916
1354,Mirs Bay,MM6,2017-11-13,1,Surface Water,0.7,0.01,3.5,88.0,6.1,1.0,5.0,0.0,0.0,0.0,7.8,0.9,32.6,2.5,0.45,7.9,24.6,0.01,0.16,0.16,0.02,2.6,0.0,1.5,2017-11-16,3 days,0.05523380025541364,0.06413784864659272,0.03169491337674523,0.021426744332673713,0.018023106667251612,0.022930858387142584,0.01880138302289188,0.006838138701673195,0.005812538834017177,10.389142879714532,6.162826578487448,0.0010045675339593837,0.5738318426431053,0.001750630514563784,0.0020328435570245527
1114,Mirs Bay,MM2,2017-11-13,1,Surface Water,1.2,0.04,1.9,87.0,6.0,1.0,1.0,0.01,0.01,0.0,7.8,1.1,32.6,2.5,0.45,17.0,24.8,0.06,0.49,0.51,0.02,1.6,0.0,3.2,2017-11-16,3 days,0.06711361739362845,0.07651708323135904,0.031818786826309245,0.019533992728360067,0.015945276686463294,0.01919350234800308,0.01682202595141917,0.007534411645997952,0.006600159310301373,7.064189186235463,3.7347110204192386,0.0010124351950981107,0.4741032902412144,0.0021354738849903437,0.002434680759909575
754,Mirs Bay,MM13,2017-11-22,1,Surface Water,0.3,0.01,1.2,80.0,5.8,1.0,1.0,0.09,0.01,0.02,8.1,0.2,32.4,3.5,1.3,9.1,22.2,0.11,0.12,0.22,0.02,7.4,0.0,1.5,2017-11-16,6 days,0.10694151608211809,0.1189500803021552,0.06796925979006667,0.05037975634893454,0.04145568562157665,0.04521274906815745,0.043225540516661304,0.044066231364467794,0.0388428388356683,5.9431934533199815,3.7796167003775913,0.004619820276409573,0.6355741182673578,0.007268735688929077,0.00808494891010648
2734,Southern,SM12,2017-11-10,1,Surface Water,0.3,0.06,1.8,80.0,5.5,210.0,390.0,0.07,0.03,0.02,7.9,1.1,33.0,2.5,0.57,15.0,25.2,0.15,0.29,0.39,0.03,6.3,0.0,2.6,2017-11-16,6 days,0.06960416896342247,0.0876916896997279,0.039066924502110516,0.023423522406745115,0.013768497685201553,0.017940025358869478,0.015437917816932926,0.006378212192136586,0.006378384983526589,8.063780880687382,3.1865315254872852,0.001526224590053603,0.5612727669033802,0.0027192208139261696,0.0034258446209617724
874,Mirs Bay,MM15,2017-11-22,1,Surface Water,0.3,0.01,0.6,70.0,5.0,1.0,1.0,0.09,0.02,0.02,8.1,0.3,32.9,2.5,1.3,12.0,22.9,0.11,0.12,0.22,0.03,6.3,0.0,1.6,2017-11-16,6 days,0.0837302020475079,0.09294977436252051,0.06439281446276175,0.05293157557870556,0.05027653932914012,0.05587509703585332,0.04805319877554345,0.06096993058967918,0.05053498615472647,9.184872439059621,6.854219756109304,0.004146434554435659,0.7690512251030487,0.00539162336537473,0.005985297574881352
3094,Southern,SM20,2017-11-10,1,Surface Water,0.8,0.02,1.8,85.0,5.8,1.0,1.0,0.03,0.03,0.01,8.0,0.3,33.1,3.0,0.52,21.0,25.3,0.07,0.42,0.47,0.03,11.2,0.0,3.8,2017-11-16,6 days,0.0676896965826387,0.08675761752436283,0.03546541969796733,0.01930940347209581,0.010785072803398237,0.015301595148090836,0.012201933237432214,0.007652991000188053,0.008163333550298264,7.740338771721918,2.6630756870211822,0.001257795994352969,0.5239411829046908,0.002400643498531346,0.003076895317497253
2794,Southern,SM13,2017-11-10,1,Surface Water,0.4,0.04,1.1,78.0,5.3,3.0,14.0,0.05,0.03,0.02,7.9,0.9,33.2,2.5,0.6,19.0,25.2,0.11,0.46,0.54,0.03,6.8,0.0,3.3,2017-11-16,6 days,0.06432403044741841,0.08292800603555898,0.03577222045402289,0.021941857958680377,0.012904907161496875,0.017659561277233407,0.014584497520355294,0.008683781944133861,0.009375274938475411,8.645684852842184,3.524885167810989,0.0012796517562112136,0.5561252957130048,0.002301013397656332,0.002966518913716557
2614,Southern,SM10,2017-11-10,1,Surface Water,0.7,0.08,1.9,74.0,5.0,5.0,7.0,0.08,0.04,0.02,7.9,1.5,32.9,2.0,0.85,17.0,25.6,0.2,0.37,0.48,0.04,4.1,0.0,3.0,2017-11-16,6 days,0.06755829191804232,0.08627073450268623,0.03989985077253199,0.025358212862738715,0.0162209649613899,0.020253608185248982,0.01683811690070223,0.007428073140356861,0.007286762814801441,8.742063362615196,3.6892339696266885,0.0015919980916703216,0.59059886861758,0.0026955657659770422,0.003442189432693907
3527,Southern,ST3,2017-11-10,1,Surface Water,1.0,0.07,1.9,93.0,6.3,3.0,8.0,0.09,0.03,0.02,7.9,1.5,32.9,2.0,0.73,20.0,25.8,0.18,0.47,0.58,0.05,4.2,0.0,3.1,2017-11-16,6 days,0.0697485561441527,0.09205180253866078,0.04376789862451129,0.027007785059269394,0.01431074027348265,0.0182277833732055,0.015082385193902696,0.004975684339093731,0.003932913732752885,8.996741708969571,3.100270476973228,0.0019156289500054972,0.6275097442025045,0.0030527477345233095,0.004028913961715636
2674,Southern,SM11,2017-11-10,1,Surface Water,0.8,0.08,1.5,78.0,5.3,1.0,4.0,0.08,0.03,0.02,7.9,1.2,32.9,2.0,0.78,21.0,25.5,0.19,0.52,0.63,0.04,4.3,0.0,3.4,2017-11-16,6 days,0.0685500065249637,0.08815745486427035,0.04236032365736346,0.02600247017277884,0.014721369684602206,0.019343300578110366,0.015446101621831116,0.006814568384683966,0.006209709355143608,9.014554501245783,3.287031657926758,0.0017943970203565865,0.6179477698800393,0.002903800463111839,0.0037343783208599025
2854,Southern,SM17,2017-11-10,1,Surface Water,0.9,0.04,1.5,83.0,5.7,1.0,3.0,0.05,0.03,0.02,7.9,0.3,33.1,2.5,0.53,20.0,25.6,0.11,0.71,0.79,0.03,5.5,0.0,3.2,2017-11-16,6 days,0.05990096447106391,0.07193882073814949,0.02787179287024114,0.017219316048365168,0.010288038846563508,0.015600258370113895,0.012465689131852788,0.008220367785174093,0.009028951670300385,7.767786417749362,3.474150772327197,0.0007768368378016248,0.46529789822841733,0.001669547274465167,0.00200506391094311
934,Mirs Bay,MM16,2017-11-22,1,Surface Water,0.3,0.01,0.7,80.0,5.6,1.0,2.0,0.06,0.02,0.02,8.0,0.6,32.9,2.5,1.2,16.0,23.4,0.09,0.25,0.33,0.03,6.8,0.0,2.2,2017-11-16,6 days,0.07547951641900623,0.0786882760790232,0.05079440032870682,0.04000255119564812,0.03734011232742869,0.041475984968350935,0.04105992849840356,0.04350125335684651,0.04221448998213732,8.915744602560288,7.2070904178833315,0.0025800711047529318,0.6729560911166154,0.003833936773604202,0.003996923796333709
3497,Southern,ST1,2017-11-10,1,Surface Water,0.9,0.07,1.8,85.0,5.8,14.0,48.0,0.06,0.02,0.01,7.9,1.7,32.9,2.0,0.69,18.0,25.5,0.15,1.1,1.18,0.04,4.6,0.0,2.8,2017-11-16,6 days,0.08589525091775344,0.10379194447970583,0.060576422535844054,0.04376845470387162,0.03646877707716275,0.04294288232552579,0.044603200772688076,0.03470133692819635,0.027115654817386172,8.210418911516046,6.045437280841937,0.0036695029672411156,0.7052359925445388,0.005203227013416179,0.006287344684619527
1474,Mirs Bay,MM8,2017-11-22,1,Surface Water,0.2,0.01,1.6,79.0,5.6,1.0,1.0,0.1,0.01,0.02,8.1,0.2,32.6,3.0,1.3,12.0,22.5,0.11,0.1,0.21,0.02,7.7,0.0,2.0,2017-11-16,6 days,0.09777188390789116,0.10541983557452325,0.0671093727888822,0.05528743561942541,0.05088357637365091,0.05699568013158042,0.046258455436964774,0.058922874308487236,0.06250421879882723,7.020292591597522,4.83908399836316,0.004503667916117162,0.6863872322651012,0.00656140980544598,0.007074659044913346
3334,Southern,SM6,2017-11-09,1,Surface Water,0.4,0.01,1.0,82.0,5.6,1.0,1.0,0.04,0.03,0.02,7.9,0.5,33.1,2.0,0.61,21.0,25.0,0.08,0.34,0.41,0.02,3.8,0.0,3.4,2017-11-16,7 days,0.07025564316391508,0.08030078519851266,0.030963908256650435,0.01744085393598883,0.010129550610814208,0.013794556639818677,0.011850207321482288,0.0063749444426203245,0.005711711404371836,6.273260817038664,2.400841671776782,0.000958763614526265,0.4407319734360387,0.002175389289439437,0.0024864261458237393
2914,Southern,SM18,2017-11-09,1,Surface Water,0.3,0.01,0.8,81.0,5.5,1.0,5.0,0.04,0.03,0.01,8.0,0.3,33.2,2.2,0.68,17.0,25.0,0.07,0.28,0.35,0.02,4.6,0.0,2.5,2017-11-16,7 days,0.06793742627781527,0.07418039229984705,0.030048466635591083,0.01838830136258142,0.01183678207621432,0.014010015904078188,0.013351576069964824,0.007113773530283329,0.006455175001838822,6.510346965371133,2.8927729925180414,0.0009029103471502305,0.4422962170028997,0.0020414154868168607,0.0022290070430370118
2974,Southern,SM19,2017-11-09,1,Surface Water,0.2,0.01,0.6,86.0,5.9,1.0,2.0,0.05,0.02,0.02,8.0,0.2,33.2,2.6,0.71,17.0,24.9,0.08,0.2,0.28,0.03,8.2,0.0,2.6,2017-11-16,7 days,0.07367391220237943,0.08096262485727565,0.034460495231699216,0.021106662128149427,0.013885012981396804,0.016791415286880072,0.01564188120944804,0.009034548170158845,0.008011485936713804,6.348835141414226,2.8817846183771687,0.0011875257316139643,0.46774352279593284,0.002538839500150723,0.00279001214784
3394,Southern,SM7,2017-11-09,1,Surface Water,0.7,0.09,2.2,89.0,6.1,1.0,2.0,0.08,0.03,0.02,7.9,0.3,32.9,2.2,0.63,33.0,25.4,0.19,0.39,0.49,0.04,3.4,0.0,5.0,2017-11-16,7 days,0.07525335147463641,0.09046446247311499,0.041643764364202834,0.025424365731858637,0.015327801501201633,0.01792702687551647,0.017092198231661585,0.008417169147953606,0.007596820856498268,7.353570960667927,3.018187584366626,0.00173420311042125,0.5533808600968232,0.0031338328364262946,0.0037672807585646703
3034,Southern,SM2,2017-11-09,1,Surface Water,0.3,0.04,1.0,86.0,5.8,36.0,69.0,0.05,0.03,0.02,7.9,0.2,33.1,2.4,0.61,13.0,25.1,0.11,0.22,0.29,0.02,3.8,0.0,1.9,2017-11-16,7 days,0.08464524377949534,0.09412375810287062,0.050622138264131006,0.03918553499210374,0.03671656277224929,0.042202875290737775,0.03356446073329722,0.036985758539459845,0.0313850238186468,7.065377410678687,4.684622001332619,0.0025626008824327965,0.598050593321037,0.004284923234006688,0.004764745896623138
2554,Southern,SM1,2017-11-09,1,Surface Water,0.2,0.01,0.9,87.0,6.0,2.0,5.0,0.05,0.03,0.02,7.9,0.8,33.1,2.5,0.61,15.0,24.9,0.09,0.22,0.29,0.03,5.9,0.0,2.1,2017-11-16,7 days,0.06879864934317739,0.07403650008847827,0.03052140229192264,0.01950859767752869,0.014017395643991537,0.017091068360739568,0.015430927615240335,0.009167774607459236,0.007993696689928756,6.448291453481691,3.260109666946133,0.0009315559978653805,0.4436337425706945,0.0020998312537440366,0.0022596978034864113
3274,Southern,SM5,2017-11-09,1,Surface Water,0.4,0.01,1.1,90.0,6.1,1.0,1.0,0.04,0.03,0.01,8.0,0.2,33.1,2.4,0.62,34.0,25.1,0.07,0.14,0.2,0.03,4.6,0.0,5.4,2017-11-16,7 days,0.06733035591535058,0.07612140345256853,0.028661019459367772,0.016875093257297,0.0107671474173757,0.013470525725079651,0.011596417562470743,0.00529932613532391,0.004711127441081159,6.322223046696542,2.5580087434261247,0.0008214540364502581,0.42567752791031027,0.001929756641096021,0.0021817170256284517
1594,North Western,NM2,2017-11-08,1,Surface Water,0.6,0.04,1.4,75.0,5.2,52.0,110.0,0.11,0.04,0.02,7.9,0.4,32.4,2.5,1.1,29.0,24.6,0.19,0.38,0.53,0.04,4.4,0.0,3.8,2017-11-16,8 days,0.057237625728613635,0.07295292571335288,0.028893823317194842,0.016926995029024415,0.011192120221934169,0.014850342881996,0.01235687088198296,0.006212129391258461,0.0075813041368589,8.819455875737715,3.7717707452368163,0.0008348530258852723,0.5048047145454977,0.0016538138448982881,0.0021078889460340584
1877,North Western,NT1,2017-11-08,1,Surface Water,0.3,0.1,1.4,67.0,4.7,720.0,2500.0,0.11,0.04,0.02,7.8,1.2,32.0,2.0,1.2,17.0,24.8,0.25,0.92,1.07,0.04,5.3,0.0,2.5,2017-11-16,8 days,0.08341375238324338,0.10527992808429394,0.06659643324709152,0.04970158713643803,0.047298292055691735,0.05384106925068713,0.04570004917920246,0.03518089023445384,0.02849728964337116,9.571404116513548,6.568124109826757,0.004435084921234318,0.7983867329348174,0.005555058392480089,0.007011267702924278
1714,North Western,NM5,2017-11-08,1,Surface Water,0.5,0.07,1.1,66.0,4.6,1800.0,4200.0,0.13,0.04,0.02,7.9,0.3,32.2,2.0,1.2,26.0,24.7,0.24,0.24,0.41,0.04,8.3,0.0,4.8,2017-11-16,8 days,0.061687748955045,0.08628870692835494,0.035232552380060525,0.019648103490188206,0.010895159382430594,0.015830562582333133,0.012704982566140343,0.00696373616098956,0.007187041709397528,9.25862002245512,3.3386910123032116,0.0012413327472137086,0.5711434276153645,0.002173416846266647,0.003040171386660957
1774,North Western,NM6,2017-11-08,1,Surface Water,0.4,0.04,1.0,86.0,6.0,320.0,720.0,0.14,0.05,0.02,8.0,0.9,32.1,2.0,1.5,54.0,24.5,0.22,0.43,0.62,0.05,21.4,0.0,6.8,2017-11-16,8 days,0.07440579151952559,0.10886332093341053,0.04969846040154056,0.02806256731324556,0.011798341382572734,0.015795889561083187,0.013435019777232996,0.007272953286196065,0.007370691601857929,8.976963368227933,2.426748825158774,0.002469936966283495,0.6679380648547859,0.003697853283478425,0.005410339444589305
1834,North Western,NM8,2017-11-08,1,Surface Water,0.3,0.03,1.7,82.0,5.7,2.0,7.0,0.15,0.05,0.01,7.9,0.6,31.8,2.0,1.1,36.0,24.6,0.23,0.56,0.76,0.03,8.7,0.0,4.2,2017-11-16,8 days,0.0690097157237619,0.09673776381546778,0.043770493571753055,0.02445112054415872,0.009119193550610432,0.013299278672101653,0.011293025987151404,0.005251555768352195,0.006185080970701718,9.190961928010111,2.371318288421583,0.0019158561075148755,0.6342656698798963,0.003020589318475426,0.0042342596692306975
1654,North Western,NM3,2017-11-08,1,Surface Water,0.7,0.08,1.1,74.0,5.1,260.0,490.0,0.12,0.04,0.02,7.9,1.1,32.5,2.0,1.1,42.0,24.9,0.23,0.49,0.65,0.05,14.5,0.0,5.0,2017-11-16,8 days,0.06145585269073017,0.0823903339345501,0.03450091140868639,0.020391449954570377,0.011516733277634954,0.015861760964470006,0.013597038364041822,0.008508555079506685,0.008783687301805728,9.134905738773307,3.6001270317379017,0.001190312888030027,0.5613934214257581,0.002120282929228163,0.002842541612008001
1534,North Western,NM1,2017-11-08,1,Surface Water,0.8,0.09,1.1,68.0,4.6,2800.0,3800.0,0.1,0.03,0.02,7.8,1.0,32.7,2.0,0.83,30.0,25.1,0.22,0.31,0.44,0.04,11.2,0.0,3.6,2017-11-16,8 days,0.06241723140347349,0.07532306715886217,0.03292189637885477,0.020157794532687335,0.015368258599060939,0.018165922542068055,0.015974463516475242,0.008205962454232843,0.007976301324975931,8.45037226751495,4.100315544846738,0.001083851261180051,0.5274488412669757,0.0020548936245201543,0.002479778211941579
274,Deep Bay,DM5,2017-11-06,1,Surface Water,0.9,0.06,2.2,93.0,6.5,1200.0,2300.0,0.15,0.05,0.03,7.8,0.9,31.4,2.5,1.0,6.3,24.7,0.26,0.76,0.96,0.04,6.6,0.0,1.0,2017-11-16,10 days,0.07865111726934397,0.106808198849666,0.05933298594384526,0.03840721254198127,0.021392618559672394,0.02441341887568845,0.020199288325637336,0.01027376493800989,0.010357048577192251,9.591497373241465,3.2653239649873838,0.0035204032210125386,0.7543819846914191,0.004666605635409711,0.006337249361034662
154,Deep Bay,DM3,2017-11-06,1,Surface Water,0.1,0.11,2.5,86.0,6.2,73.0,140.0,0.43,0.07,0.08,7.6,2.3,28.6,1.5,1.1,13.0,23.7,0.61,0.57,1.07,0.12,14.4,0.0,1.8,2017-11-16,10 days,0.047309341605355916,0.07785132913977688,0.038115378067631926,0.021379103649963895,0.008104693907353024,0.012907164621835786,0.009776238849292162,0.004220614439584432,0.00528341336118716,17.029677505067095,4.367953389325974,0.0014527820452385168,0.8056628305162645,0.0018032134414188894,0.002967332843230246
214,Deep Bay,DM4,2017-11-06,1,Surface Water,0.9,0.08,1.9,82.0,5.7,290.0,630.0,0.22,0.06,0.03,7.7,1.2,30.6,2.0,1.0,12.0,25.0,0.36,0.56,0.84,0.05,10.3,0.0,1.9,2017-11-16,10 days,0.059127395569713276,0.08883314651216886,0.040955830636128336,0.022563051027193304,0.00981999824371209,0.014168333282629815,0.01167735471750354,0.006296841439038552,0.006418600356702743,11.714890645778794,3.340157711924142,0.0016773800630952285,0.6926709732688965,0.002421611598908542,0.0036382353034267625
94,Deep Bay,DM2,2017-11-06,1,Surface Water,1.0,0.37,13.0,82.0,6.0,14.0,22.0,0.82,0.16,0.15,7.5,4.5,25.0,1.5,2.0,21.0,23.3,1.35,0.58,1.56,0.19,17.3,0.01,3.0,2017-11-16,10 days,0.05382083867225628,0.08964388295704723,0.05665527879070369,0.03815364283900683,0.016016098168528697,0.019981274100513705,0.016490370430133246,0.005086587284718439,0.005307289529470679,19.558676299665056,5.692846707118614,0.00320982061485236,1.0526643617671554,0.0030492346197261663,0.005078799180812722
34,Deep Bay,DM1,2017-11-06,1,Surface Water,2.0,0.58,11.0,97.0,7.3,330.0,880.0,1.1,0.31,0.19,7.4,9.5,22.9,1.5,3.2,60.0,22.9,1.99,0.78,2.19,0.21,28.0,0.01,6.3,2017-11-16,10 days,0.05830180297817901,0.09805497936136219,0.07285740965076058,0.054016394997498655,0.02108947246626335,0.025679145561705516,0.01942533145594884,0.0033346718370852032,0.0039506313551463,21.434322235301128,5.714845146844883,0.0053082021410187415,1.249659631933328,0.004247718342959121,0.00714403179962764
454,Eastern Buffer,EM3,2017-11-03,1,Surface Water,0.5,0.02,2.9,97.0,6.6,2.0,5.0,0.0,0.0,0.0,8.0,1.6,32.9,2.0,0.22,4.3,25.5,0.02,0.89,0.9,0.02,2.0,0.0,0.8,2017-11-16,13 days,0.08279376826303875,0.08896453354139555,0.05245659176339172,0.042002438404373815,0.041039588927101266,0.05042875281083865,0.033250271328258967,0.04237907541687506,0.04578460820707336,7.652525246483908,4.850649503491297,0.0027516940194311362,0.6335814018844421,0.004343078902327081,0.004666776217401556
4504,Victoria Harbour,VM7,2017-11-02,1,Surface Water,1.1,0.17,5.9,80.0,5.4,13000.0,44000.0,0.08,0.03,0.02,7.9,2.0,32.6,2.5,0.82,5.3,25.7,0.28,0.67,0.78,0.05,9.0,0.01,1.2,2017-11-16,14 days,0.06936341031012859,0.07851925101791823,0.035052894886539065,0.02215047103769185,0.014837932835724536,0.017711467675724207,0.016081852525980073,0.008417125831575997,0.007709881708795682,7.285561282956493,3.3425291263601187,0.0012287054399267566,0.5053513766092981,0.0024313883305728174,0.002752327052500863
4084,Victoria Harbour,VM12,2017-11-02,1,Surface Water,0.6,0.11,1.5,66.0,4.4,180.0,460.0,0.1,0.04,0.02,7.8,0.9,32.7,2.5,1.2,7.1,26.2,0.24,0.66,0.79,0.04,4.7,0.0,1.1,2017-11-16,14 days,0.07398050905809868,0.08577362992510287,0.04109970463340027,0.025259713238644815,0.016972569528915543,0.02130791562998299,0.017917402616875317,0.010033404539360163,0.008408090395243407,7.509379799789793,3.2737116355459506,0.0016891857209527436,0.5555477402990521,0.003040577070916449,0.0035252708552563107
